Test Version, drone_x, drone_y, drone_z, us_0, us_1, us_2, us_3, us_4, us_5, raw_accel_x, raw_accel_y, raw_accel_z, filt_accel_x, filt_accel_y, filt_accel_z, raw_vel_x, raw_vel_y, raw_vel_z, filt_vel_x, filt_vel_y, filt_vel_z, raw_pos_x, raw_pos_y, raw_pos_z, filt_pos_x, filt_pos_y, filt_pos_z, heading, compass_x, compass_y, compass_z, millis, recording_enabled,temp
0,0,0,0,1998,250,296,2330,129,284,612.874939,306.437531,367.725006,122.574989,61.287506,73.544998,173.811417,44.126945,4287.366699,34.762283,8.825361,857.474731,3069.35083,1862.128052,75878.34375,613.869934,372.425232,15175.7207,65.129753,0.925,3.75,-0.175,55935.0000000.000000,,14
0,0,0,0,2033,134,268,2111,126,285,-735.44989,-367.725037,-122.575005,-147.089981,-73.545006,-24.515001,170.195465,40.633556,4342.463867,34.039085,8.126683,868.494324,3139.122803,1877.92749,77767.15625,627.824463,375.585175,15553.48438,65.129753,0.925,3.75,-0.275,56733.0000000.000000,,14
0,0,0,0,2095,309,297,2113,128,299,735.44989,306.437531,183.862488,147.089981,61.287506,36.772499,199.123169,53.136208,4399.034668,39.824635,10.627215,879.807983,3217.398682,1896.649902,79768.95313,643.479614,379.32962,15953.84375,64.770256,0.95,3.75,-0.325,57560.0000000.000000,,14
0,0,0,0,2129,134,285,2184,130,234,858.024841,367.725037,61.287483,171.604965,73.545006,12.257497,213.096695,60.000404,4452.538086,42.619347,12.000055,890.50885,3306.107178,1920.847778,81681.52344,661.221252,384.169128,16336.35645,64.949867,0.95,3.8,-0.175,58358.0000000.000000,,14
0,0,0,0,2080,219,296,55,131,268,858.024841,367.725037,-61.287529,171.604965,73.545006,-12.257505,283.393372,90.031288,4483.549316,56.678699,18.006229,896.711121,3397.449707,1948.151978,83357.71094,679.489807,389.629883,16671.5918,65.68087,0.875,3.7,-0.375,59031.0000000.000000,,14
0,0,0,0,2094,132,285,2112,128,297,-919.312317,-183.862518,245.150024,-183.862457,-36.772503,49.030006,292.831665,84.69928,4546.490234,58.566353,16.939823,909.2995,3517.964844,1985.45459,85569.80469,703.592834,397.090424,17114.00586,65.21801,0.925,3.775,-0.325,59845.0000000.000000,,14
0,0,0,0,2050,134,227,2133,127,296,-796.737366,-429.012543,245.150024,-159.347473,-85.802505,49.030006,303.434357,74.831985,4603.365723,60.686882,14.966366,920.674561,3665.526367,2025.572266,87576.29688,733.105042,405.113922,17515.30664,64.765335,0.925,3.65,-0.225,60734.0000000.000000,,14
0,0,0,0,1998,167,295,2112,127,296,674.162415,429.012543,-61.287529,134.832489,85.802505,-12.257505,238.530884,34.811226,4676.175293,47.706196,6.96222,935.236389,3811.874268,2056.781494,90011.9375,762.374756,411.355835,18002.43945,64.030273,0.975,3.65,-0.2,61545.0000000.000000,,14
0,0,0,0,2129,135,268,2114,131,235,674.162415,245.150024,-183.862549,134.832489,49.030006,-36.772511,223.454147,26.966427,4739.056641,44.690853,5.39326,947.812622,3909.378174,2067.021973,92104.42188,781.875732,413.403931,18420.94141,64.860619,0.95,3.775,-0.25,62348.0000000.000000,,14
0,0,0,0,2027,133,297,2114,133,268,-490.299957,-61.287521,367.725037,-98.05999,-12.257504,73.545006,249.072342,28.130892,4785.268066,49.814495,5.626153,957.054993,4016.701172,2078.706055,94325.85156,803.340149,415.740845,18865.22656,65.21801,0.925,3.775,-0.25,63166.0000000.000000,,14
